Model,ModelSize,OpenSource,TextVQA,POPE,AI2D,ChartQA,ScienceQA,MMMU,MMBench,MathVista,AverageScore
MMAlaya,7.8B,Yes,27.1,82.7,42.3,10.2,60.9,32.0,58.7,22.7,42.075
MiniCPM-V,3B,Yes,56.6,79.5,56.3,44.2,77.0,38.3,64.1,30.6,55.825
MiniCPM-V-2,2.8B,Yes,73.2,86.3,62.9,55.6,80.7,38.2,69.1,39.8,63.225
Ovis1.5-Llama3-8B,8B,Yes,74.0,88.5,82.5,76.4,88.8,48.3,80.8,63.0,75.2875
RekaFlash,,No,N/A,80.6,75.6,N/A,85.5,44.8,76.8,26.6,64.98333333333333
RekaEdge,,No,N/A,83.3,67.4,N/A,73.5,42.4,66.4,37.6,61.76666666666667
InternVL2-1B,1B,Yes,70.9,84.9,63.8,67.8,87.9,36.7,65.2,39.4,64.575
InternVL2-2B,2B,Yes,73.4,85.2,74.1,71.7,94.1,36.3,73.4,46.0,69.275
InternVL2-4B,4B,Yes,74.7,84.6,79.0,80.7,96.3,48.3,78.5,58.1,75.025
InternVL2-8B,8B,Yes,N/A,84.2,83.6,N/A,97.1,51.2,82.0,58.3,76.06666666666666
InternVL2-26B,26B,Yes,82.5,86.4,84.5,85.1,97.4,50.7,83.4,59.4,78.675
InternVL2-40B,40B,Yes,83.5,81.9,86.8,83.8,98.5,55.2,86.8,64.0,80.0625
InternVL2-Llama3-76B,76B,Yes,N/A,87.3,87.6,N/A,98.8,58.3,86.5,65.6,80.68333333333334
